"","Adaptable","BestValue","CuttingEdge","Delightful","Exciting","Friendly","Generous","Helpful","Intuitive","Brand"
"52",6,4,4,3,4,4,4,4,5,"Marca_3"
"53",4,4,4,4,3,5,5,3,4,"Marca_2"
"54",6,4,4,5,4,3,4,2,3,"Marca_4"
"55",6,5,5,4,6,6,5,6,4,"Marca_1"
"56",5,5,4,3,3,5,4,4,2,"Marca_2"
"57",5,4,3,5,4,4,4,5,2,"Marca_1"
"58",4,5,3,3,1,4,4,3,3,"Marca_3"
"59",4,4,5,6,5,4,4,5,4,"Marca_1"
"60",4,3,5,3,5,5,4,4,3,"Marca_2"
"61",4,4,5,5,5,2,4,1,4,"Marca_4"
"62",5,3,6,4,4,5,4,5,4,"Marca_1"
"63",2,2,3,3,2,4,4,4,3,"Marca_3"
"64",3,4,5,5,4,4,5,2,4,"Marca_1"
"65",4,4,6,5,4,5,5,4,4,"Marca_2"
"66",5,3,5,4,3,5,3,5,4,"Marca_3"
"67",4,4,2,3,3,4,5,3,3,"Marca_3"
"68",5,3,4,4,4,4,3,4,5,"Marca_2"
"69",5,4,4,3,4,5,3,3,2,"Marca_1"
"70",3,3,3,4,4,2,4,3,4,"Marca_2"
"71",4,5,6,5,5,4,6,3,4,"Marca_1"
"72",4,4,4,3,4,4,5,3,2,"Marca_1"
"73",3,3,4,3,5,4,4,5,3,"Marca_1"
"74",3,4,5,4,4,4,3,2,2,"Marca_2"
"75",4,4,3,6,4,4,3,3,4,"Marca_4"
"76",4,4,3,5,2,4,3,3,4,"Marca_2"
"77",5,5,5,3,4,2,3,2,3,"Marca_1"
"78",4,3,5,6,4,5,3,4,4,"Marca_1"
"79",3,4,2,2,3,3,4,4,4,"Marca_2"
"80",4,3,3,4,3,4,3,2,2,"Marca_2"
"81",3,3,7,4,3,4,3,5,4,"Marca_1"
"82",5,4,2,3,3,5,2,5,4,"Marca_3"
"83",5,4,4,3,4,6,2,4,4,"Marca_3"
"84",5,4,6,4,5,7,4,6,7,"Marca_3"
"85",1,2,5,5,5,5,3,3,3,"Marca_2"
"86",5,3,4,4,3,6,4,4,4,"Marca_3"
"87",4,4,4,3,5,4,4,3,4,"Marca_1"
"88",4,3,4,4,5,4,3,5,5,"Marca_1"
"89",3,3,3,3,5,6,4,7,5,"Marca_3"
"90",4,4,5,6,5,4,4,4,4,"Marca_1"
"91",4,4,2,4,3,4,4,5,4,"Marca_3"
"92",4,2,5,3,4,5,3,4,5,"Marca_3"
"93",5,5,4,4,4,4,4,5,4,"Marca_2"
"94",5,3,5,4,4,4,4,3,3,"Marca_2"
"95",5,2,5,3,5,3,5,2,3,"Marca_4"
"96",5,5,4,4,5,4,5,3,4,"Marca_1"
"97",3,4,5,5,4,4,4,4,4,"Marca_4"
"98",5,5,3,3,4,5,4,5,5,"Marca_2"
"99",3,4,5,6,5,5,4,3,4,"Marca_1"
"100",5,6,6,4,3,4,3,4,3,"Marca_1"
"101",4,4,3,4,3,4,3,3,3,"Marca_1"
"102",5,3,4,4,3,4,4,5,4,"Marca_1"
"103",3,5,7,5,4,4,3,3,3,"Marca_2"
"104",5,4,3,4,4,4,4,4,5,"Marca_2"
"105",5,4,5,5,4,5,4,4,4,"Marca_2"
"106",4,2,4,3,5,4,3,4,3,"Marca_3"
"107",4,2,4,3,5,5,4,3,5,"Marca_3"
"108",2,2,5,3,5,5,4,5,5,"Marca_2"
"109",4,3,3,4,3,5,3,4,4,"Marca_3"
"110",5,3,2,4,4,5,4,4,3,"Marca_3"
"111",5,4,3,4,2,5,3,4,4,"Marca_3"
"112",6,6,5,4,4,5,3,4,5,"Marca_2"
"113",3,4,4,3,4,4,4,3,3,"Marca_2"
"114",4,4,4,3,5,5,5,5,6,"Marca_2"
"115",4,4,5,5,4,5,3,4,4,"Marca_2"
"116",3,4,4,4,3,3,5,4,4,"Marca_3"
"117",4,5,5,3,3,3,6,3,2,"Marca_4"
"118",4,4,4,4,4,5,5,4,4,"Marca_4"
"119",2,2,4,3,4,3,3,3,2,"Marca_1"
"120",3,3,4,4,5,3,3,4,2,"Marca_1"
"121",4,3,4,5,4,4,5,3,3,"Marca_1"
"122",5,5,4,4,5,5,4,5,4,"Marca_4"
"123",4,4,3,5,3,4,4,4,4,"Marca_2"
"124",5,6,4,3,4,4,4,5,2,"Marca_1"
"125",5,4,5,6,6,5,5,3,2,"Marca_2"
"126",2,4,3,3,2,3,4,3,3,"Marca_2"
"127",5,3,4,5,4,5,5,5,4,"Marca_2"
"128",4,3,3,4,3,6,4,3,4,"Marca_2"
"129",4,3,3,6,5,3,3,3,3,"Marca_4"
"130",3,3,3,3,2,4,3,4,4,"Marca_2"
"131",4,3,4,4,3,5,3,3,4,"Marca_3"
"132",4,5,4,4,3,3,5,4,2,"Marca_1"
"133",5,4,4,3,1,4,4,3,3,"Marca_2"
"134",4,3,4,3,4,6,4,5,4,"Marca_2"
"135",5,5,2,3,2,6,3,4,5,"Marca_1"
"136",5,5,3,4,3,2,4,3,4,"Marca_1"
"137",4,4,4,4,3,5,3,4,5,"Marca_3"
"138",4,3,4,4,3,5,5,4,4,"Marca_2"
"139",5,4,4,3,5,4,5,3,4,"Marca_2"
"140",4,2,5,5,4,4,5,3,4,"Marca_4"
"141",6,6,3,2,3,7,4,6,5,"Marca_3"
"142",5,5,5,5,4,5,4,4,4,"Marca_1"
"143",5,4,5,6,5,3,3,4,4,"Marca_4"
"144",5,4,5,3,4,4,5,4,3,"Marca_4"
"145",4,5,4,4,3,5,4,4,5,"Marca_3"
"146",4,3,6,4,5,3,4,4,4,"Marca_1"
"147",4,5,4,5,3,5,3,5,4,"Marca_1"
"148",4,3,4,5,4,6,4,4,5,"Marca_2"
"149",4,4,4,3,3,4,3,5,4,"Marca_2"
"150",3,3,4,4,4,2,4,4,2,"Marca_4"
"151",4,3,5,5,4,4,4,4,4,"Marca_2"
"152",4,5,5,4,4,4,5,4,4,"Marca_2"
"153",3,3,3,4,4,4,4,3,4,"Marca_1"
"154",4,4,6,4,6,3,4,3,3,"Marca_4"
"155",4,4,4,3,3,4,4,3,3,"Marca_2"
"156",5,3,4,3,3,3,4,4,3,"Marca_1"
"157",3,4,5,4,7,4,5,6,5,"Marca_2"
"158",4,4,3,3,4,4,4,4,4,"Marca_3"
"159",6,3,3,4,2,4,4,3,4,"Marca_1"
"160",4,4,4,4,4,3,4,4,4,"Marca_1"
"161",5,4,4,4,4,4,5,4,4,"Marca_1"
"162",4,4,3,3,2,4,3,5,4,"Marca_2"
"163",4,4,3,6,4,5,5,4,2,"Marca_1"
"164",5,4,4,4,4,5,3,3,4,"Marca_2"
"165",3,4,4,5,5,4,4,1,3,"Marca_4"
"166",4,1,4,5,4,6,3,4,4,"Marca_2"
"167",4,2,5,6,5,6,4,5,6,"Marca_2"
"168",6,4,2,3,3,6,2,4,5,"Marca_3"
"169",4,3,3,3,6,4,2,6,3,"Marca_3"
"170",4,4,4,2,3,5,3,4,3,"Marca_1"
"171",4,4,5,5,5,3,5,5,4,"Marca_1"
"172",6,5,2,5,3,6,4,5,5,"Marca_3"
"173",6,4,2,4,3,4,4,3,4,"Marca_3"
"174",4,3,4,3,4,4,4,1,2,"Marca_1"
"175",4,4,3,3,4,5,4,3,3,"Marca_2"
"176",5,4,4,6,4,7,4,4,4,"Marca_1"
"177",5,4,3,6,4,5,4,5,4,"Marca_2"
"178",3,4,4,3,5,2,2,2,3,"Marca_2"
"179",4,5,5,5,4,5,3,5,4,"Marca_2"
"180",3,3,7,6,5,2,6,1,2,"Marca_1"
"181",2,3,5,3,4,5,5,3,3,"Marca_1"
"182",3,4,5,3,3,3,3,2,3,"Marca_2"
"183",3,2,5,5,4,3,5,3,3,"Marca_4"
"184",1,3,3,3,3,3,4,5,4,"Marca_3"
"185",2,2,4,3,4,4,2,4,3,"Marca_2"
"186",4,4,4,3,4,5,4,4,3,"Marca_4"
"187",2,3,4,3,4,4,5,4,3,"Marca_2"
"188",4,3,3,3,2,5,3,3,3,"Marca_2"
"189",4,3,3,4,5,4,4,5,3,"Marca_2"
"190",3,4,4,2,3,4,4,4,4,"Marca_1"
"191",3,5,4,4,5,2,5,3,1,"Marca_1"
"192",4,3,5,6,5,4,4,5,3,"Marca_1"
"193",5,3,5,4,4,5,4,6,3,"Marca_1"
"194",4,4,7,4,5,5,4,5,4,"Marca_1"
"195",4,3,5,4,3,5,4,5,4,"Marca_3"
"196",4,4,3,4,4,3,2,4,3,"Marca_1"
"197",5,4,5,4,5,5,3,4,5,"Marca_2"
"198",5,5,3,4,4,4,4,4,5,"Marca_3"
"199",5,5,6,4,3,4,3,6,4,"Marca_2"
"200",4,2,4,2,4,4,4,4,2,"Marca_2"
"201",4,4,4,5,3,6,4,6,6,"Marca_3"
"202",4,3,3,3,3,4,5,4,3,"Marca_3"
"203",3,2,4,4,4,4,3,4,4,"Marca_3"
"204",4,5,4,5,4,5,4,4,3,"Marca_2"
"205",5,5,4,5,5,4,4,3,4,"Marca_4"
"206",3,2,6,4,5,4,5,4,3,"Marca_1"
"207",5,4,3,3,4,6,4,4,4,"Marca_2"
"208",3,3,4,3,4,3,3,4,3,"Marca_2"
"209",3,3,5,6,5,5,6,4,3,"Marca_1"
"210",4,4,4,5,4,3,4,2,3,"Marca_1"
"211",4,5,5,5,4,5,5,3,4,"Marca_1"
"212",4,5,4,4,3,4,4,4,5,"Marca_2"
"213",5,4,5,5,4,6,5,3,4,"Marca_1"
"214",5,4,3,4,4,4,5,4,4,"Marca_2"
"215",6,4,5,6,6,6,5,5,4,"Marca_2"
"216",4,4,4,2,3,4,4,5,3,"Marca_3"
"217",4,2,3,3,4,5,4,5,4,"Marca_2"
"218",6,5,4,3,4,4,5,3,5,"Marca_3"
"219",4,4,5,4,4,3,3,3,4,"Marca_1"
"220",3,3,4,5,3,4,4,2,3,"Marca_1"
"221",4,4,3,4,5,5,4,4,4,"Marca_2"
"222",4,4,3,3,2,4,4,3,3,"Marca_2"
"223",3,4,3,4,4,3,3,4,4,"Marca_2"
"224",4,6,5,4,5,5,3,3,4,"Marca_1"
"225",5,5,5,3,3,4,4,4,5,"Marca_2"
"226",5,4,5,3,4,5,4,4,5,"Marca_1"
"227",5,3,5,4,4,5,3,2,4,"Marca_2"
"228",6,4,6,6,5,4,4,3,5,"Marca_1"
"229",4,4,6,5,3,5,3,4,3,"Marca_2"
"230",3,5,4,4,5,3,5,4,4,"Marca_1"
"231",3,5,3,4,4,3,4,5,3,"Marca_2"
"232",3,3,3,4,2,3,3,4,3,"Marca_3"
"233",6,4,3,4,3,3,5,5,5,"Marca_2"
"234",5,4,5,3,4,4,4,2,3,"Marca_1"
"235",5,5,5,5,5,5,5,5,4,"Marca_1"
"236",4,4,5,4,5,4,4,3,3,"Marca_1"
"237",4,5,5,5,4,4,5,3,3,"Marca_4"
"238",5,4,4,5,3,6,4,5,5,"Marca_3"
"239",5,1,4,4,4,5,5,4,5,"Marca_2"
"240",5,4,5,7,5,4,4,4,4,"Marca_1"
"241",4,4,4,4,4,4,4,4,2,"Marca_1"
"242",2,3,5,5,3,3,5,1,1,"Marca_2"
"243",5,5,4,4,5,4,4,5,4,"Marca_1"
"244",3,5,3,5,2,2,3,3,2,"Marca_1"
"245",4,1,3,3,2,4,6,3,3,"Marca_1"
"246",3,3,5,5,5,5,4,4,3,"Marca_1"
"247",4,3,3,4,3,5,1,5,3,"Marca_2"
"248",5,4,4,3,4,5,4,5,4,"Marca_2"
"249",5,4,4,2,3,6,3,5,5,"Marca_2"
"250",4,5,4,4,5,4,5,3,3,"Marca_1"
"251",5,3,2,4,3,3,3,4,4,"Marca_3"
"252",4,4,2,1,1,4,2,4,3,"Marca_3"
"253",4,4,5,4,4,4,5,3,4,"Marca_4"
"254",5,5,4,4,4,3,3,3,4,"Marca_1"
"255",4,4,4,3,2,4,5,3,2,"Marca_3"
"256",5,3,4,3,3,2,3,4,4,"Marca_1"
"257",3,1,4,4,3,4,3,3,4,"Marca_4"
"258",3,4,4,5,4,6,4,5,4,"Marca_1"
"259",5,4,5,4,3,5,4,4,5,"Marca_1"
"260",4,5,3,4,4,4,3,3,4,"Marca_2"
"261",4,2,5,3,4,4,4,6,4,"Marca_3"
"262",3,4,2,3,2,3,3,3,2,"Marca_2"
"263",4,3,3,4,5,4,4,4,3,"Marca_1"
"264",5,4,4,3,4,4,3,5,3,"Marca_2"
"265",3,3,5,5,3,6,4,4,3,"Marca_1"
"266",4,2,4,4,4,3,4,3,3,"Marca_1"
"267",2,4,5,5,7,5,4,5,3,"Marca_1"
"268",4,4,4,5,4,4,2,2,4,"Marca_4"
"269",4,4,5,4,4,4,4,3,3,"Marca_1"
"270",3,3,4,4,5,3,4,4,4,"Marca_1"
"271",6,3,5,6,4,5,5,5,5,"Marca_2"
"272",4,4,5,4,4,5,4,4,4,"Marca_2"
"273",4,5,2,4,4,4,4,3,2,"Marca_2"
"274",5,4,4,6,5,4,4,3,3,"Marca_1"
"275",3,4,2,3,3,4,3,4,5,"Marca_2"
"276",5,4,3,4,4,5,4,5,4,"Marca_3"
"277",3,3,4,2,4,4,4,4,3,"Marca_1"
"278",3,3,3,2,5,5,4,5,4,"Marca_3"
"279",4,3,4,2,5,5,3,5,4,"Marca_4"
"280",5,4,3,4,3,5,5,5,5,"Marca_3"
"281",4,3,5,3,4,6,3,4,5,"Marca_3"
"282",2,2,4,3,1,3,4,3,5,"Marca_3"
"283",2,3,7,4,4,4,4,4,4,"Marca_4"
"284",4,5,4,3,4,4,6,2,3,"Marca_4"
"285",6,4,3,5,4,4,3,5,4,"Marca_2"
"286",6,4,6,6,5,6,5,5,7,"Marca_2"
"287",4,4,3,3,3,6,4,4,5,"Marca_3"
"288",4,4,4,5,4,5,4,4,5,"Marca_1"
"289",4,3,5,5,4,3,6,4,4,"Marca_2"
"290",5,4,4,3,2,5,3,4,3,"Marca_1"
"291",5,3,2,2,4,4,3,4,3,"Marca_1"
"292",4,4,3,5,3,4,4,6,4,"Marca_3"
"293",4,4,4,4,3,3,3,4,2,"Marca_1"
"294",5,6,5,5,5,5,4,5,3,"Marca_4"
"295",5,5,4,4,4,6,2,4,6,"Marca_2"
"296",6,5,5,7,4,6,5,6,7,"Marca_1"
"297",5,3,5,4,5,4,4,2,4,"Marca_2"
"298",4,2,5,5,4,5,4,4,4,"Marca_2"
"299",3,4,4,4,4,4,5,5,4,"Marca_2"
"300",4,4,4,4,3,2,6,3,1,"Marca_4"
"301",4,5,5,3,5,4,4,2,4,"Marca_2"
"302",3,4,5,3,2,3,5,5,2,"Marca_2"
"303",4,4,4,5,2,4,5,3,4,"Marca_2"
"304",4,5,5,5,6,5,3,5,3,"Marca_1"
"305",4,4,4,4,4,4,5,4,4,"Marca_1"
"306",4,3,5,4,3,5,3,4,4,"Marca_2"
"307",5,2,3,3,4,5,3,5,4,"Marca_3"
"308",5,5,4,4,4,2,5,4,2,"Marca_1"
"309",6,4,5,5,4,4,3,4,3,"Marca_1"
"310",4,3,5,4,2,5,3,4,3,"Marca_2"
"311",4,4,4,3,1,6,3,5,4,"Marca_2"
"312",4,4,4,4,3,4,5,3,4,"Marca_1"
"313",5,4,4,3,3,4,3,5,4,"Marca_1"
"314",6,6,4,3,3,5,4,5,4,"Marca_1"
"315",3,5,4,4,5,4,4,4,3,"Marca_1"
"316",4,3,4,3,4,3,3,5,5,"Marca_2"
"317",5,5,4,4,4,2,4,2,3,"Marca_2"
"318",6,3,6,3,3,7,3,5,5,"Marca_3"
"319",5,6,5,4,4,5,4,5,3,"Marca_1"
"320",5,4,3,3,5,5,3,4,3,"Marca_3"
"321",3,3,2,4,4,4,4,4,3,"Marca_2"
"322",6,4,5,5,4,5,5,5,4,"Marca_2"
"323",5,4,4,4,4,3,4,3,3,"Marca_4"
"324",5,5,3,3,5,3,4,4,3,"Marca_2"
"325",4,5,4,3,3,5,4,4,3,"Marca_2"
"326",4,1,4,3,3,4,4,4,3,"Marca_3"
"327",4,4,5,4,4,3,3,3,4,"Marca_2"
"328",5,3,4,3,4,4,5,3,4,"Marca_1"
"329",3,3,4,3,3,4,3,5,3,"Marca_1"
"330",3,2,4,4,5,6,5,5,5,"Marca_2"
"331",5,4,5,3,4,3,4,4,4,"Marca_2"
"332",4,4,2,2,3,5,3,3,3,"Marca_3"
"333",5,5,4,4,3,4,3,5,4,"Marca_2"
"334",6,5,2,4,4,5,4,5,4,"Marca_3"
"335",3,4,6,5,5,3,4,3,3,"Marca_1"
"336",4,5,2,4,4,4,4,4,4,"Marca_3"
"337",3,3,6,4,3,2,5,3,3,"Marca_1"
"338",3,4,3,2,1,3,5,5,5,"Marca_3"
"339",5,4,4,4,5,5,4,4,4,"Marca_4"
"340",4,5,4,2,4,4,3,4,4,"Marca_2"
"341",5,5,1,3,4,4,3,2,4,"Marca_1"
"342",4,3,3,3,4,4,3,4,5,"Marca_3"
"343",4,4,5,5,6,4,4,4,4,"Marca_1"
"344",5,4,3,3,5,3,4,4,4,"Marca_2"
"345",6,4,4,3,4,6,4,5,4,"Marca_2"
"346",4,3,5,3,3,5,4,4,4,"Marca_1"
"347",4,5,5,4,4,5,4,2,3,"Marca_4"
"348",4,5,3,3,3,4,2,3,5,"Marca_3"
"349",3,4,5,2,4,4,4,5,3,"Marca_1"
"350",4,5,4,5,4,3,5,3,3,"Marca_4"
"351",4,3,3,4,4,5,3,7,5,"Marca_3"
"352",4,4,3,3,4,5,4,6,5,"Marca_3"
"353",5,4,3,4,4,4,4,5,2,"Marca_2"
"354",6,6,4,4,5,5,5,6,5,"Marca_2"
"355",5,5,5,3,4,4,3,4,2,"Marca_1"
"356",3,2,3,4,3,4,2,5,4,"Marca_1"
"357",5,4,4,4,4,5,3,4,4,"Marca_2"
"358",5,3,3,4,4,5,2,5,5,"Marca_2"
"359",5,4,4,4,5,5,4,4,4,"Marca_2"
"360",4,4,6,4,4,4,4,3,4,"Marca_2"
"361",6,3,4,5,3,6,3,5,5,"Marca_3"
"362",7,4,4,4,3,4,3,5,4,"Marca_1"
"363",4,4,5,4,3,5,3,3,4,"Marca_2"
"364",4,3,3,5,5,4,3,3,4,"Marca_2"
"365",4,5,3,4,3,4,4,4,4,"Marca_2"
"366",5,4,4,5,5,2,4,3,4,"Marca_1"
"367",4,5,6,4,4,4,5,4,4,"Marca_2"
"368",5,4,4,4,4,2,5,3,2,"Marca_4"
"369",3,3,4,3,4,3,3,3,3,"Marca_3"
"370",4,4,4,2,4,4,3,4,3,"Marca_2"
"371",5,4,4,4,5,4,3,2,3,"Marca_1"
"372",5,4,5,4,4,5,4,5,6,"Marca_2"
"373",4,6,2,3,2,4,4,4,5,"Marca_3"
"374",5,4,3,3,4,5,3,3,4,"Marca_3"
"375",4,5,5,4,4,3,6,4,2,"Marca_1"
"376",4,4,5,5,5,3,5,4,2,"Marca_2"
"377",4,5,4,5,4,4,3,5,4,"Marca_3"
"378",4,3,4,4,4,5,5,5,3,"Marca_1"
"379",4,4,4,4,3,3,5,2,3,"Marca_1"
"380",4,4,4,5,3,4,5,4,4,"Marca_3"
"381",4,5,4,3,4,5,4,4,5,"Marca_4"
"382",4,3,4,3,4,5,5,5,4,"Marca_3"
"383",5,4,5,5,2,5,4,4,4,"Marca_2"
"384",4,3,3,5,4,4,5,2,3,"Marca_1"
"385",4,3,2,2,2,4,4,2,5,"Marca_3"
"386",4,4,4,4,6,2,4,3,4,"Marca_2"
"387",4,4,4,4,4,5,4,2,4,"Marca_4"
"388",6,6,3,3,4,5,4,5,3,"Marca_2"
"389",4,5,5,4,4,4,5,5,4,"Marca_1"
"390",6,4,6,4,3,4,4,3,3,"Marca_1"
"391",2,5,4,4,4,4,5,4,3,"Marca_1"
"392",3,4,4,6,6,4,5,3,4,"Marca_2"
"393",6,5,3,1,2,4,3,5,4,"Marca_3"
"394",4,4,4,3,4,5,5,4,4,"Marca_4"
"395",4,5,3,3,3,4,5,3,4,"Marca_2"
"396",5,4,3,2,4,2,3,2,3,"Marca_2"
"397",3,4,6,5,4,2,5,2,1,"Marca_4"
"398",4,3,2,4,4,5,3,3,4,"Marca_2"
"399",5,4,4,4,5,5,3,4,2,"Marca_2"
"400",6,3,5,4,4,4,4,3,3,"Marca_1"
"401",4,5,4,5,4,4,4,6,4,"Marca_2"
"402",2,3,5,4,3,3,4,4,3,"Marca_4"
"403",5,4,5,4,5,6,5,5,4,"Marca_1"
"404",4,5,4,4,3,6,4,4,4,"Marca_2"
"405",6,3,7,5,5,4,4,5,5,"Marca_1"
"406",3,3,4,5,4,4,6,3,2,"Marca_1"
"407",3,3,5,5,4,3,5,4,3,"Marca_3"
"408",3,3,6,5,3,4,4,4,3,"Marca_1"
"409",4,3,4,5,4,2,2,2,2,"Marca_1"
"410",5,4,4,4,5,5,4,3,4,"Marca_1"
"411",5,4,4,4,5,4,6,3,5,"Marca_1"
"412",6,6,2,3,3,3,2,4,4,"Marca_3"
"413",5,5,3,4,3,4,3,4,3,"Marca_2"
"414",5,5,4,3,3,3,4,2,2,"Marca_2"
"415",5,4,5,5,4,3,4,4,3,"Marca_4"
"416",4,4,5,6,3,5,5,3,3,"Marca_2"
"417",5,4,3,1,4,5,2,5,5,"Marca_3"
"418",4,4,3,3,4,2,1,1,3,"Marca_1"
"419",5,4,4,3,3,5,3,5,4,"Marca_2"
"420",3,3,5,4,5,3,4,3,2,"Marca_1"
"421",4,4,4,3,3,4,5,3,5,"Marca_1"
"422",5,4,5,5,3,3,4,4,3,"Marca_1"
"423",4,3,5,4,4,6,4,6,4,"Marca_2"
"424",4,5,4,4,4,4,4,3,4,"Marca_4"
"425",5,4,4,5,4,4,4,3,3,"Marca_1"
"426",5,6,6,4,4,5,4,5,3,"Marca_1"
"427",3,4,4,5,5,4,4,2,2,"Marca_1"
"428",6,7,5,5,4,4,5,4,3,"Marca_1"
"429",4,4,4,4,6,5,4,4,4,"Marca_1"
"430",4,5,5,5,4,5,4,3,4,"Marca_2"
"431",5,4,4,5,5,3,5,3,3,"Marca_2"
"432",6,4,4,4,4,5,3,5,4,"Marca_2"
"433",4,4,4,5,5,4,5,3,4,"Marca_2"
"434",4,4,3,3,4,5,4,5,3,"Marca_2"
"435",5,5,4,5,3,5,5,5,5,"Marca_2"
"436",4,3,4,4,4,5,3,4,4,"Marca_2"
"437",2,4,4,3,3,5,4,5,3,"Marca_2"
"438",3,3,4,4,3,4,4,3,2,"Marca_1"
"439",5,3,5,5,6,4,4,6,5,"Marca_2"
"440",6,6,4,4,4,5,6,5,4,"Marca_2"
"441",4,5,4,3,4,3,4,4,3,"Marca_1"
"442",5,4,4,5,4,2,3,4,4,"Marca_4"
"443",5,3,4,5,4,4,4,3,4,"Marca_2"
"444",5,4,3,2,4,4,3,4,4,"Marca_2"
"445",3,5,5,4,4,4,4,4,3,"Marca_4"
"446",3,3,3,3,3,6,3,4,3,"Marca_3"
"447",4,4,4,4,5,4,4,4,4,"Marca_3"
"448",3,3,4,4,4,5,4,4,4,"Marca_2"
"449",3,3,4,4,2,3,4,5,2,"Marca_3"
"450",3,2,4,5,3,4,4,3,5,"Marca_2"
"451",5,4,4,4,4,5,3,5,5,"Marca_1"
"452",5,5,6,3,4,5,5,6,6,"Marca_3"
"453",1,2,4,4,4,4,3,3,3,"Marca_1"
"454",4,3,5,3,4,3,4,1,2,"Marca_1"
"455",4,4,4,5,5,5,4,4,4,"Marca_3"
"456",4,4,4,3,3,4,4,6,4,"Marca_1"
"457",2,5,4,3,3,2,3,2,2,"Marca_1"
"458",5,3,4,3,4,2,3,3,4,"Marca_2"
"459",4,5,4,4,4,3,4,4,4,"Marca_2"
"460",5,4,5,4,4,6,3,3,7,"Marca_2"
"461",5,4,5,5,4,4,4,1,4,"Marca_1"
"462",4,3,3,4,5,2,3,5,4,"Marca_1"
"463",4,2,4,4,4,5,5,4,4,"Marca_2"
"464",4,4,3,4,2,3,3,3,3,"Marca_2"
"465",4,4,6,4,4,3,4,3,2,"Marca_4"
"466",7,7,4,4,3,4,6,4,3,"Marca_1"
"467",4,4,4,4,4,2,5,4,3,"Marca_1"
"468",3,3,5,4,6,4,4,4,3,"Marca_1"
"469",6,4,3,2,1,6,3,5,5,"Marca_3"
"470",5,3,3,5,4,4,5,4,4,"Marca_1"
"471",5,2,4,5,5,5,5,4,4,"Marca_2"
"472",5,5,5,5,5,4,5,4,4,"Marca_2"
"473",6,6,6,5,6,5,4,2,4,"Marca_1"
"474",4,5,5,5,5,6,5,4,5,"Marca_1"
"475",5,4,3,5,3,5,5,5,3,"Marca_2"
"476",5,5,3,6,3,7,5,2,6,"Marca_2"
"477",6,6,4,4,3,5,4,6,3,"Marca_2"
"478",4,2,4,5,4,3,3,1,3,"Marca_3"
